<ResourceDictionary xmlns="http://schemas.microsoft.com/winfx/2006/xaml/presentation"
                    xmlns:x="http://schemas.microsoft.com/winfx/2006/xaml"
					xmlns:sys="clr-namespace:System;assembly=mscorlib">
    <sys:String x:Key="TITLE_LINK_SETTING">通信設定</sys:String>
    <sys:String x:Key="TITLE_AUTO_LINK">自動接続</sys:String>
    <sys:String x:Key="TITLE_NET_NAME">ネットワーク名</sys:String>
    <sys:String x:Key="TITLE_NET_STATUS">ネットワーク接続状態</sys:String>
    <sys:String x:Key="TITLE_NET_SELECT">起動後にネットワーク接続</sys:String>
    <sys:String x:Key="TITLE_COM_SELECT">起動後にシリアルポート接続</sys:String>
    <sys:String x:Key="TITLE_NOT_AVAILABLE">接続しない</sys:String>
    <sys:String x:Key="TITLE_TELE_COM_LINK">シリアルポート通信</sys:String>
    <sys:String x:Key="TITLE_NET_LINK">ネットワーク通信</sys:String>
    <sys:String x:Key="TITLE_LINK_TYPE_START">立上げ後に通信する</sys:String>
    <sys:String x:Key="TITLE_PLAY_BACK_DATA">プレイバック</sys:String>
    <sys:String x:Key="TITLE_PLAY_BACK_STOP">一時停止</sys:String>
    <sys:String x:Key="TITLE_PLAY_BACK_CONTINUE">再生</sys:String>
    <sys:String x:Key="TITLE_VOLT_STATIC">電圧：</sys:String>
    <sys:String x:Key="TITLE_FLY_ALT_STATIC">飛行高度：</sys:String>
    <sys:String x:Key="TITLE_HORIZONTAL_VEL_STATIC">水平速度：</sys:String>
    <sys:String x:Key="TITLE_VERTICAL_VEL_STATIC">上昇速度：</sys:String>
    <sys:String x:Key="TITLE_DIST_TARGET_WPT_STATIC">目標距離：</sys:String>
    <sys:String x:Key="TITLE_TARGET_ALT_STATIC">目標高度：</sys:String>
    <sys:String x:Key="TITLE_DIST_HOME_STATIC">ホーム距離：</sys:String>
    <sys:String x:Key="TITLE_VERSION_SETTINGS">バージョン設定</sys:String>

    <sys:String x:Key="TITLE_CALIBRATE_INDICATION">キャリブレーション指令</sys:String>
    <sys:String x:Key="TITLE_FLY_INDICATION">起動指令</sys:String>
    <sys:String x:Key="TITLE_DISPLAY_SHOW">モニター表示</sys:String>
    <sys:String x:Key="TITLE_FLY_INFORMATION_SHOW">インフォメーション表示</sys:String>
    <sys:String x:Key="TITLE_DOWN_LOAD_PIC_POS">写真位置を読取り</sys:String>
    <sys:String x:Key="TITLE_DOWN_LOAD_FLY_DATA">飛行データを読取り</sys:String>
    <sys:String x:Key="TITLE_DOWN_LOAD_LOG">飛行ログ読取り</sys:String>
    <sys:String x:Key="TITLE_YUN_TAI_CONTROL">ジンバルコントロール</sys:String>
    <sys:String x:Key="TITLE_FLY_PARA_SETTINGS">飛行機設定</sys:String>
    <sys:String x:Key="TITLE_TAST_PARA_SETTINGS">タスク設定</sys:String>
    <sys:String x:Key="TITLE_WPT_PARA_SETTINGS">フライトルート設定</sys:String>
    <sys:String x:Key="TITLE_USUAL_INDICATION">常用指令</sys:String>
    <sys:String x:Key="TITLE_DISPLAY_INFORMATION">モニター情報</sys:String>
    <sys:String x:Key="TITLE_TASK_MANAGE">タスク管理</sys:String>
    <sys:String x:Key="TITLE_VIEW_CENTRAL">自動センターアライン</sys:String>

    <sys:String x:Key="TITLE_SHUT_UP">シャットダウン</sys:String>
    <sys:String x:Key="TITLE_CONFIRM">確認</sys:String>
    <sys:String x:Key="TITLE_OK">OK</sys:String>
    <sys:String x:Key="TITLE_WINDOW_MINIMUM">最小化</sys:String>
    <sys:String x:Key="TITLE_CANCEL">取消し</sys:String>
    <sys:String x:Key="TITLE_CALCULATE">計算</sys:String>

    <sys:String x:Key="TITLE_WPT_PROPERTY">フライトポイントプロパティ</sys:String>
    <sys:String x:Key="TITLE_LONGITUDE">経度</sys:String>
    <sys:String x:Key="TITLE_LATITUDE">緯度</sys:String>
    <sys:String x:Key="TITLE_ALTITUDE">高度</sys:String>
    <sys:String x:Key="TITLE_SPEED">速度</sys:String>
    <sys:String x:Key="TITLE_WPT_TASK">タスク</sys:String>
    <sys:String x:Key="TITLE_WPT_TURN_MODE">ターン</sys:String>
    <sys:String x:Key="TITLE_WPT_ALL">全部</sys:String>
